,PRODUCT_TYPE,ORDER_ID,SITE,MATERIAL_NAME,MATERIAL_NUMBER,MATERIAL_QUALITY_NORM,DEFECT_NOTES,NOMINAL_THICKNESS_MM_SCALED,WIDTH_MM_SCALED,MASS_MIN_KG_SCALED,INCO_TERM,MIN/MAX_BID_EUR_PER_TON,VALID_UNTIL
126,COILS_STRIP,436150,1 company gmbh,CR180BH,,,CR180BHGI50/50-U Z 100 MB  / D2A SUN,0.809,871,2811,FCA,520.0,2025-02-21 11:00
127,COIL_STRIP,436138,1 company gmbh,CR5,,VDA 239-100,CR5GI40/40-U Z 90 MB OL  / D2A SAO,0.713,1418,2930,FCA,520.0,2025-02-21 11:00
128,,436125,1 company gmbh,DIVERSE,,-,phs-uncoated 1500 CR  / D2A KS,2.209,1130,5780,FCA,520.0,2025-02-21 11:00
129,COIL_STRIP,436160,1 company gmbh,HC180B,1.0395,DIN EN 10268,,0.696,1282,11960,FCA,520.0,2025-02-21 11:00
130,COILS_STRIP,436147,1 company gmbh,CR5,,VDA 239-100,CR5GI50/50-E Z 110 MC NIT OL  / D2A REQ,0.76,1451,3250,,520.0,21/02/2025 11:00
131,COIL_STRIP,436737,1 company gmbh,,1.0873,,DC06  / D2A ZUB,0.8,1385,4580,FCA,570.0,2025-02-20 11:00
132,SHEET,436765,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A EID,11.859,1509,2091,FCA,,2025-02-20 11:00
133,COIL_STRIP,436283,1 company gmbh,CR180BH,,VDA 239-100,CR180BHZM40/40-E ZM 90 MC OL  / D2A VMB,0.712,1432,3160,FCA,490.0,2025-02-20 16:00
134,SHET,436626,1 company gmbh,,1.0045,DIN EN 10025,,12.008,1507,3541,FCA,610.0,2025-02-20 11:00
135,,436521,1 company gmbh,S23SJR,1.0038,DIN EN 10025,,3.628,1256,721,FCA,550.0,2025-02-21 11:00
