source,product_type,order_id,site,material_name,material_number,material_quality_norm,defect_notes,nominal_thickness_mm,width_mm,length_mm,mass_min_kg,inco_term,min/max_bid_eur_per_ton,valid_until
supplier_2,SHEET,0.9984399375975954,1 company gmbh,S235JR,0.0,DIN EN 10025,DEKL-S235JR  / D2A EID,0.9850733163578893,0.8067129629629629,0.5656455142231949,0.06118803037070121,FCA,0.45169230769230806,20/02/2025 11:00
supplier_2,SHEET,0.9812792511701218,1 company gmbh,S355MC,0.8135299219427576,DIN EN 10149,Unknown,0.6512424269031523,0.23032407407407407,0.2084245076586433,0.07548012505582849,FCA,0.45169230769230806,20/02/2025 11:00
supplier_2,SHEET,0.9828393135726401,1 company gmbh,Unknown,0.8135299219427576,DIN EN 10149,DEKL-S355MC  / D2A WEH,0.6512424269031523,0.22916666666666663,0.20897155361050324,0.06833407771326486,FKA,0.45169230769230806,2025-02-20 11:00
supplier_2,SHEET,0.985959438377563,1 company gmbh,S355MC,0.8135299219427576,Unknown,DEKL-S355MC  / D2A WEH,0.6512424269031523,0.23032407407407407,0.20897155361050324,0.07503349709691827,FCA,0.45169230769230806,2025-02-20 11:00
supplier_2,SHEET,0.9875195007800812,1 company gmbh,S355MC,0.8135299219427576,DN EN 10149,DEKL-S355MC  / D2A WEH,0.6512424269031523,0.22916666666666663,0.20897155361050324,0.07503349709691827,FCA,0.45169230769230806,2025-02-20 11:00
supplier_2,SHEET,0.9890795631825995,1 company gmbh,S355MC,0.8135299219427576,DIN EN 10149,DEKL-S355MC  / D2A WEH,0.6512424269031523,0.22916666666666663,0.20897155361050324,0.07503349709691827,FKA,0.45169230769230806,2025-02-20 11:00
supplier_2,SHEET,1.0,1 company gmbh,S355JR,0.006071118820468513,DIN EN 10025,DEKL-S355JR  / D2A KRA,0.9981561155500922,0.8055555555555555,0.29102844638949676,0.12594908441268424,FCA,0.45169230769230806,2025-02-20 11:00
supplier_2,SHEET,0.9906396255851178,1 company gmbh,Unknown,0.8135299219427576,DIN EN 10149,DEKL-S355MC  / D2A WEH,0.6512424269031523,0.23032407407407407,0.20897155361050324,0.07503349709691827,FKA,0.45169230769230806,20/02/2025 11:00
supplier_2,SHEET,0.9843993759750447,1 company gmbh,S355MC,0.8135299219427576,DIN EN 10149,DEKL-S355MC  / D2A WEH,0.6512424269031523,0.23032407407407407,0.2084245076586433,0.07503349709691827,FCA,0.45169230769230806,2025-02-20 11:00
supplier_2,SHEET,0.9797191887676036,1 company gmbh,S355MC,0.8135299219427576,DIN EN 10149,DEKL-S355MC  / D2A WEH,0.6512424269031523,0.23032407407407407,0.20897155361050324,0.07548012505582849,Unknown,0.45169230769230806,2025-02-20 11:00
supplier_2,COIL_STRIP,0.9547581903276523,1 company gmbh,Unknown,0.7241977450130097,Unknown,DC06  / D2A ZUB,0.014048643427869004,0.6631944444444443,0.3830913069425106,0.1723537293434569,FCA,0.6153846153846154,2025-02-20 11:00
supplier_2,COIL_STRIP,0.9485179407176929,1 company gmbh,DC06,0.7241977450130097,DIN EN 10130,DC06  / D2A UKK,0.0010536482570901728,0.41435185185185175,0.3830913069425106,0.28182224207235373,FCA,0.6153846153846154,2025-02-20 11:00
supplier_2,COIL_STRIP,0.9500780031202112,1 company gmbh,DC06,0.7241977450130097,DIN EN 10130,DC06  / D2A OZE,0.005443849328299229,0.8900462962962962,0.3830913069425106,0.10893255917820455,Unknown,0.6153846153846154,2025-02-20 11:00
supplier_2,COIL_STRIP,0.9516380655226158,1 company gmbh,DC06,0.7241977450130097,DIN EN 10130,Unknown,0.005531653349723414,0.7719907407407406,0.3830913069425106,0.17682000893255917,FCA,0.6153846153846154,2025-02-20 11:00
supplier_2,Unknown,0.953198127925134,1 company gmbh,DC06,0.7241977450130097,DIN EN 10130,Unknown,0.010097462463780835,0.9444444444444443,0.3830913069425106,0.11161232693166592,Unknown,0.6153846153846154,2025-02-20 11:00
supplier_2,COIL_STRIP,0.9609984399376117,1 company gmbh,Unknown,0.25325238508239245,DIN EN 10130,DC01  / D2A BDE,0.014838879620686626,0.6145833333333334,0.3830913069425106,0.062483251451540864,Unknown,0.6153846153846154,2025-02-20 11:00
supplier_2,COIL_STRIP,0.9594383775352071,1 company gmbh,DC06,0.7241977450130097,DIN EN 10130,Unknown,0.014487663534989911,0.6469907407407406,0.3830913069425106,0.20808396605627513,Unknown,0.6153846153846154,2025-02-20 11:00
supplier_2,COIL_STRIP,0.9578783151326888,1 company gmbh,DC06,0.7241977450130097,DIN EN 10130,DC06  / D2A ZUB,0.014136447449293182,0.7662037037037036,0.3830913069425106,0.09330058061634658,FCA,0.6153846153846154,2025-02-20 11:00
supplier_2,Unknown,0.9563182527301706,1 company gmbh,DC06,0.7241977450130097,DIN EN 10130,DC06  / D2A ZUN,0.014136447449293182,0.7662037037037036,0.3830913069425106,0.07498883430102725,FCA,0.6153846153846154,2025-02-20 11:00
supplier_2,SHEET,0.769110764430593,1 company gmbh,S460MC,0.818733738074588,DIN EN 10149,DEKL-S460MC  / D2A ROS,0.21116867152515587,0.2407407407407408,0.01695842450765861,0.0160786065207682,Unknown,0.9230769230769229,2025-02-20 11:00
supplier_2,Unknown,0.7706708268331113,1 company gmbh,S355MC,0.8135299219427576,DIN EN 10149,DEKL-S355MC  / D2A REI,0.2987970849064887,0.5092592592592592,0.29102844638949676,0.012058954890576151,FKA,0.9230769230769229,2025-02-20 11:00
